Experiment,Method,Threads,Ticker,Iterations,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Parallel,1,AAPL,410000,AAPL,312.32160294221575,70.96893275525818,30.35669590384429,312.1043666321858,312.5388392522457,3.0595076084136963,0.15234375,8.935714285714285
1,Parallel,1,MSFT,410000,MSFT,516.7656001129953,101.84837606356365,19.904772133246006,516.4538416499663,517.0773585760244,3.282006025314331,-19.67578125,13.966666666666667
1,Parallel,1,GOOGL,410000,GOOGL,236.49574203669957,64.78773709464907,37.906428632149506,236.29742640202366,236.69405767137548,3.06477427482605,0.0,11.992857142857144
1,Parallel,2,AAPL,410000,AAPL,312.320548210438,71.10283035898611,30.35625568021481,312.10290203907545,312.53819438180057,2.6275737285614014,0.0,15.075000000000001
1,Parallel,2,MSFT,410000,MSFT,516.6529984552876,101.6027422337294,19.878645246885306,516.34199187882,516.9640050317553,2.630434989929199,1.578125,14.274999999999999
1,Parallel,2,GOOGL,410000,GOOGL,236.3722460048392,64.736821439142,37.834415087392074,236.17408622327673,236.5704057864017,2.626173973083496,-1.578125,16.599999999999998
1,Parallel,4,AAPL,410000,AAPL,312.31246031629104,71.13787582720549,30.35287995740894,312.0947068705493,312.53021376203276,2.6302125453948975,0.04296875,26.083333333333332
1,Parallel,4,MSFT,410000,MSFT,516.8132085307099,101.64056174243598,19.915818682157997,516.5020861885092,517.1243308729105,2.8435328006744385,0.04296875,25.99230769230769
1,Parallel,4,GOOGL,410000,GOOGL,236.32917178101405,64.6849546132639,37.80929745811607,236.13117076410293,236.52717279792518,3.0724451541900635,0.02734375,34.44285714285714
1,Sequential,1,AAPL,510000,AAPL,312.36083749605336,71.13852091540427,30.37307161002456,312.1655943421251,312.55608064998165,22.924530267715454,0.890625,0.4
1,Sequential,1,MSFT,510000,MSFT,516.832978590279,101.69635297932658,19.920405915687446,516.5538679699964,517.1120892105616,24.15343427658081,1.26953125,1.0
1,Sequential,1,GOOGL,510000,GOOGL,236.58682050689993,64.59953821293033,37.95953870695442,236.40952391117787,236.76411710262198,23.21944832801819,0.9921875,1.8
1,Parallel,1,AAPL,510000,AAPL,312.11664761365944,70.96814271643069,30.271151710977712,311.92187207104075,312.3114231562781,4.1571502685546875,-34.6953125,10.363157894736842
1,Parallel,1,MSFT,510000,MSFT,516.9206822412824,101.72193608570876,19.940755734418634,516.6415014069116,517.1998630756532,3.507133722305298,0.03125,11.8875
1,Parallel,1,GOOGL,510000,GOOGL,236.27472433803877,64.66315081252424,37.77754782768209,236.09725315442233,236.4521955216552,3.5067853927612305,0.0078125,10.875
1,Parallel,2,AAPL,510000,AAPL,312.08308220575543,70.91627077194836,30.257142191207663,311.88844902822825,312.2777153832826,2.8495497703552246,0.0234375,19.6
1,Parallel,2,MSFT,510000,MSFT,516.7218865187856,101.63172802255293,19.89462929759344,516.4429532648611,517.0008197727101,2.633380889892578,-8.58984375,13.383333333333333
1,Parallel,2,GOOGL,510000,GOOGL,236.3279972380458,64.66839454064767,37.80861255349737,236.1505116627608,236.50548281333081,2.8553078174591064,0.05078125,20.27692307692308
1,Parallel,4,AAPL,510000,AAPL,312.3081598945883,71.05326871641564,30.351085048703037,312.11315071949446,312.50316906968214,3.0856311321258545,1.046875,37.892857142857146
1,Parallel,4,MSFT,510000,MSFT,516.7092917926069,101.84279952943211,19.891706951809965,516.4297792425967,516.9888043426171,2.860980987548828,-0.0078125,24.184615384615388
1,Parallel,4,GOOGL,510000,GOOGL,236.3395009951489,64.58341747132607,37.81532067451586,236.1622486435915,236.5167533467063,2.8501694202423096,-0.96875,23.815384615384612
1,Sequential,1,AAPL,610000,AAPL,312.1341822423237,70.9094666473852,30.278470308971055,311.95623331572585,312.3121311689215,27.66179347038269,-4.08984375,0.8
1,Sequential,1,MSFT,610000,MSFT,516.8010226795036,101.77687334942222,19.9129912073574,516.5456112905691,517.0564340684381,27.69114661216736,0.96875,10.7
1,Sequential,1,GOOGL,610000,GOOGL,236.4650790732968,64.66004872028338,37.88854831118586,236.3028132037655,236.6273449428281,27.434887170791626,0.99609375,0.4
1,Parallel,1,AAPL,610000,AAPL,312.1408393965819,71.06193286033529,30.28124886999613,311.9625078525393,312.3191709406245,3.955376386642456,0.13671875,13.644444444444447
1,Parallel,1,MSFT,610000,MSFT,516.6931489115221,101.67550913384545,19.88796133004718,516.4379918984024,516.9483059246419,3.940721273422241,-0.125,14.777777777777779
1,Parallel,1,GOOGL,610000,GOOGL,236.44518987856839,64.63949286311836,37.87695043720409,236.28297559443027,236.6074041627065,4.163012266159058,0.01953125,12.057894736842107
1,Parallel,2,AAPL,610000,AAPL,312.3248125751541,71.06302308977216,30.35803553946657,312.1464782951558,312.5031468551524,3.2948193550109863,0.0390625,18.39333333333333
1,Parallel,2,MSFT,610000,MSFT,516.8900989790156,101.78886944271035,19.93365952079221,516.634657485611,517.1455404724203,3.067051410675049,-12.859375,17.8
1,Parallel,2,GOOGL,610000,GOOGL,236.34418722509653,64.5067435088501,37.81805332936309,236.18230607849583,236.50606837169724,3.491814136505127,0.0234375,19.4
1,Parallel,4,AAPL,610000,AAPL,312.24531991219845,71.0193896977136,30.324856915913546,312.06709513119443,312.4235446932025,3.8119256496429443,0.03515625,60.682352941176475
1,Parallel,4,MSFT,610000,MSFT,516.797285215685,101.69822001916256,19.912124006159345,516.5420712090797,517.0524992222902,4.020898103713989,1.18359375,43.03333333333333
1,Parallel,4,GOOGL,610000,GOOGL,236.4138323908559,64.56860079257686,37.85866512219561,236.25179601198846,236.57586876972334,3.4962832927703857,0.07421875,28.81875
1,Sequential,1,AAPL,710000,AAPL,312.3656436067613,71.19117204063804,30.375077583054065,312.20004638744314,312.53124082607945,32.271740198135376,-0.8984375,3.1
1,Sequential,1,MSFT,710000,MSFT,516.6903776916636,101.812297920053,19.88731832578064,516.4535529148734,516.9272024684537,31.777570009231567,0.9921875,5.7
1,Sequential,1,GOOGL,710000,GOOGL,236.34162129150394,64.71144864631738,37.81655707097461,236.19109650525988,236.492146077748,31.79950451850891,0.99609375,12.3
1,Parallel,1,AAPL,710000,AAPL,312.3359407774396,71.12012704866916,30.36268022516112,312.1705088153124,312.50137273956676,4.605664014816284,0.03515625,15.152380952380955
1,Parallel,1,MSFT,710000,MSFT,516.6804007334572,101.7575263184532,19.88500337892648,516.443703360454,516.9170981064603,4.390304088592529,-5.97265625,10.640000000000002
1,Parallel,1,GOOGL,710000,GOOGL,236.70007670851888,64.78944976522874,38.025581157237895,236.54937048449221,236.85078293254554,4.1679089069366455,0.390625,12.36315789473684
1,Parallel,2,AAPL,710000,AAPL,312.0452437022715,70.91461167980316,30.241349168100562,311.88028978781,312.21019761673296,3.293290615081787,-0.015625,17.65333333333334
1,Parallel,2,MSFT,710000,MSFT,516.8455870586417,101.7364054033862,19.923331450060573,516.6089388148313,517.0822353024522,3.2941625118255615,0.0078125,21.220000000000002
1,Parallel,2,GOOGL,710000,GOOGL,236.43622914785988,64.68410430095044,37.871725216828864,236.28576796708018,236.58669032863958,3.509694814682007,0.00390625,17.03125
1,Parallel,4,AAPL,710000,AAPL,312.2295537738446,71.16877176792129,30.318276449869536,312.0640086596227,312.3950988880665,3.3196756839752197,1.390625,28.779999999999994
1,Parallel,4,MSFT,710000,MSFT,516.9264409896323,101.9016655116544,19.942091932897235,516.6894083355977,517.1634736436669,3.2836596965789795,0.01171875,32.54666666666667
1,Parallel,4,GOOGL,710000,GOOGL,236.39827271540832,64.51240805114647,37.84959189638118,236.24821091591033,236.54833451490632,3.5171396732330322,0.01953125,37.475
1,Sequential,1,AAPL,810000,AAPL,312.42023815681836,71.1343400910199,30.397864239797475,312.26532337173126,312.57515294190546,36.476805210113525,-1.08984375,0.6
1,Sequential,1,MSFT,810000,MSFT,516.7831206322969,101.62648091338855,19.908837407471015,516.56180074053,517.0044405240639,36.084094285964966,0.9765625,0.6
1,Sequential,1,GOOGL,810000,GOOGL,236.38122414674933,64.62277799238447,37.83965046066312,236.24049009689924,236.52195819659943,36.418431997299194,-0.51953125,1.4
1,Parallel,1,AAPL,810000,AAPL,312.3070107940185,71.03606269327337,30.350605437455748,312.15231003526424,312.4617115527727,4.814546585083008,0.01953125,12.186363636363637
1,Parallel,1,MSFT,810000,MSFT,516.6303355299839,101.76531210149963,19.87338678367912,516.4087132947407,516.8519577652271,5.0418267250061035,-3.2578125,12.643478260869566
1,Parallel,1,GOOGL,810000,GOOGL,236.41656635795266,64.56833270051135,37.86025936501396,236.2759508778493,236.557181838056,4.812275171279907,-2.05078125,16.540909090909093
1,Parallel,2,AAPL,810000,AAPL,312.2374208411899,71.04851951710022,30.321560004051896,312.0826929542415,312.39214872813824,3.5142743587493896,-0.0234375,26.00625
1,Parallel,2,MSFT,810000,MSFT,516.6650769531608,101.7001327535497,19.881447812564755,516.4435966640531,516.8865572422685,3.2915501594543457,0.03125,21.173333333333336
1,Parallel,2,GOOGL,810000,GOOGL,236.41077077217142,64.60882898671743,37.85687981775429,236.2700671001559,236.55147444418694,3.5189359188079834,0.0078125,18.78125
1,Parallel,4,AAPL,810000,AAPL,312.24731667486765,71.10675810725525,30.32569032411076,312.09246195721187,312.4021713925234,3.2994961738586426,1.578125,23.32666666666667
1,Parallel,4,MSFT,810000,MSFT,516.6907014549819,101.71050250332209,19.887393448364065,516.4691985828636,516.9122043271002,3.301445484161377,0.15625,29.579999999999995
1,Parallel,4,GOOGL,810000,GOOGL,236.46175287058296,64.598186903274,37.88660872135129,236.32107237466028,236.60243336650564,3.2818846702575684,-1.55078125,30.313333333333336
1,Sequential,1,AAPL,910000,AAPL,312.3489077506067,71.05911136260438,30.36809237648852,312.2029069802601,312.49490852095335,41.00679540634155,0.37890625,0.0
